Company_ID,Industry,Years_in_Business,Annual_Revenue_M,Website_Visits_30d,Whitepaper_Downloads,Credit_Score_Proxy,Prior_Amex_Relationship,Converted
1069,Healthcare,4,20.54,3,0,782,0,1
1070,Healthcare,3,8.93,6,0,699,0,0
1071,Tech,12,10.53,5,1,725,0,0
1072,Consulting,22,45.96,3,0,679,0,0
1073,Consulting,23,42.98,5,0,648,1,0
1074,Manufacturing,8,10.35,5,2,687,0,1
1075,Consulting,2,43.85,3,0,695,0,0
1076,Manufacturing,6,10.85,3,0,772,1,0
1077,Tech,22,31.51,5,0,737,1,0
1078,Healthcare,10,4.52,6,2,709,0,0
1079,Healthcare,12,44.08,5,0,619,1,0
1080,Healthcare,21,3.05,4,2,724,0,1
1081,Consulting,10,27.97,3,0,745,0,1
1082,Tech,10,39.1,6,0,679,0,0
1083,Consulting,23,6.28,4,0,729,0,0
1084,Consulting,3,20.52,8,0,738,0,0
1085,Tech,20,2.58,5,0,687,0,0
1086,Tech,10,34.3,8,0,684,1,0
1087,Tech,9,15.72,3,0,647,0,0
1088,Tech,20,28.19,6,0,748,0,0
1089,Healthcare,19,46.67,5,1,750,0,1
1090,Retail,14,15.64,4,2,755,0,0
1091,Retail,2,2.91,6,0,708,0,0
1092,Tech,5,33.94,4,0,701,0,0
1093,Retail,20,39.45,4,0,734,0,1
1094,Retail,8,47.91,4,0,723,0,0
1095,Tech,7,8.31,3,1,702,0,1
1096,Retail,6,19.91,6,1,754,0,0
1097,Consulting,11,42.28,6,1,785,0,1
1098,Manufacturing,12,40.44,4,0,812,0,0
1099,Manufacturing,18,31.43,7,0,646,0,0
1100,Tech,19,13.83,5,0,718,0,0
1101,Healthcare,10,14.56,7,0,725,0,0
1102,Tech,21,6.64,1,2,715,1,0
1103,Healthcare,14,46.13,6,0,782,0,0
1104,Manufacturing,3,9.06,6,0,720,0,0
1105,Tech,18,28.86,6,0,833,0,1
1106,Consulting,24,29.43,4,1,748,0,0
1107,Retail,15,18.8,7,0,622,0,0
1108,Healthcare,6,17.95,7,0,724,0,0
1109,Retail,10,33.6,4,0,677,1,0
1110,Retail,12,19.72,6,0,773,0,0
1111,Tech,7,13.13,3,0,698,0,0
1112,Retail,17,20.26,3,0,664,0,0
1113,Consulting,1,40.48,9,0,712,1,0
1114,Retail,18,48.34,6,1,684,1,0
1115,Tech,15,31.98,4,0,642,0,0
1116,Consulting,19,39.21,1,1,642,0,0
1117,Manufacturing,1,26.87,10,2,743,0,0
1118,Retail,5,31.43,1,0,684,0,0
1119,Tech,15,49.41,4,0,755,0,0
1120,Manufacturing,3,22.2,5,0,600,0,0
1121,Manufacturing,1,3.78,6,0,690,0,0
1122,Healthcare,8,47.87,2,1,770,0,1
1123,Consulting,12,39.76,2,0,736,0,0
1124,Retail,22,20.22,2,0,731,1,0
1125,Tech,19,49.13,9,0,728,0,1
1126,Healthcare,12,17.6,6,1,637,0,0
1127,Consulting,13,18.92,5,0,725,0,0
1128,Healthcare,1,30.68,5,0,753,0,0
1129,Consulting,19,14.08,4,0,653,0,0
1130,Consulting,6,35.08,7,0,645,0,0
1131,Retail,8,8.07,7,0,741,0,0
1132,Consulting,4,5.85,5,1,710,1,0
1133,Healthcare,5,26.98,6,1,655,1,0
1134,Consulting,22,28.0,10,0,792,0,0
1135,Retail,7,5.78,2,0,679,1,1
1136,Retail,23,48.23,3,0,737,0,0
1137,Healthcare,4,28.88,7,1,603,0,0
1138,Manufacturing,20,7.98,10,2,713,0,0
1139,Manufacturing,4,15.92,6,0,668,0,0
1140,Consulting,15,40.11,1,0,730,0,0
1141,Tech,21,26.4,5,1,764,0,0
1142,Consulting,5,9.81,7,2,762,1,0
1143,Healthcare,24,5.59,1,0,694,0,0
1144,Healthcare,9,21.82,8,0,736,0,0
1145,Healthcare,2,17.2,7,0,827,0,1
1146,Healthcare,7,32.97,6,0,695,0,0
1147,Healthcare,17,46.3,4,1,693,1,0
1148,Retail,16,12.76,5,0,646,0,0
1149,Manufacturing,17,42.83,3,1,719,1,1
1150,Healthcare,20,46.06,3,0,675,0,0
1151,Tech,23,45.15,2,2,665,0,0
1152,Tech,2,47.63,3,0,606,0,0
1153,Tech,11,42.18,6,0,651,1,1
1154,Tech,2,29.88,5,0,656,0,1
1155,Retail,1,20.79,3,0,763,0,0
1156,Tech,2,24.84,3,0,690,0,0
1157,Healthcare,23,43.69,6,0,656,0,1
1158,Consulting,9,15.42,3,1,785,0,0
1159,Tech,22,8.38,4,0,737,0,0
1160,Retail,2,7.47,4,0,654,0,0
1161,Retail,15,41.44,5,0,717,1,0
1162,Tech,10,38.19,7,1,762,0,1
1163,Consulting,15,25.13,11,0,672,0,0
1164,Tech,10,14.11,10,1,710,0,0
1165,Retail,23,34.04,1,1,611,0,1
1166,Manufacturing,17,2.4,5,0,726,0,0
1167,Healthcare,9,28.63,2,2,798,0,0
1168,Retail,18,20.22,2,0,764,0,0
1169,Tech,4,48.9,1,1,694,1,0
1170,Healthcare,9,25.62,5,1,661,1,0
1171,Tech,16,27.84,3,2,716,1,0
1172,Tech,4,35.76,3,1,780,0,0
1173,Manufacturing,16,24.48,5,0,687,0,0
1174,Healthcare,19,11.62,4,0,703,0,1
1175,Healthcare,1,27.1,5,0,651,0,1
1176,Manufacturing,23,47.24,6,0,666,0,0
1177,Retail,6,20.79,4,0,685,1,0
1178,Tech,10,34.14,3,0,683,0,0
1179,Consulting,16,48.91,7,2,663,1,1
1180,Tech,4,41.58,2,0,665,0,0
1181,Tech,22,33.12,7,0,761,1,1
1182,Retail,22,36.93,6,0,728,0,0
1183,Tech,13,46.86,6,0,747,0,0
1184,Manufacturing,16,48.01,2,0,739,0,0
1185,Manufacturing,20,48.46,1,0,748,0,0
1186,Healthcare,6,31.47,4,0,739,0,0
1187,Consulting,11,19.54,8,1,781,0,1
1188,Tech,24,7.09,5,0,809,0,0
1189,Tech,3,19.58,8,1,720,0,1
1190,Retail,20,47.18,6,0,758,0,1
1191,Manufacturing,10,44.54,2,1,616,0,0
1192,Consulting,1,26.42,2,0,693,0,0
1193,Healthcare,20,27.08,6,0,754,0,0
1194,Manufacturing,11,15.79,2,1,602,0,0
1195,Healthcare,12,23.0,6,0,773,1,1
1196,Retail,14,35.87,3,0,615,0,0
1197,Retail,8,20.42,2,0,787,1,1
1198,Tech,11,9.81,7,1,803,1,1
1199,Consulting,4,27.27,3,2,608,0,0
1200,Healthcare,7,11.65,6,0,733,0,0
1201,Manufacturing,10,48.73,5,2,705,0,0
1202,Retail,19,19.82,7,0,756,1,0
1203,Tech,4,45.53,4,0,697,0,0
1204,Tech,2,11.66,9,0,695,1,1
1205,Healthcare,21,9.87,4,0,747,1,0
1206,Retail,18,31.04,7,0,761,1,0
1207,Consulting,14,39.08,3,0,625,0,0
1208,Retail,16,28.55,4,1,754,0,0
1209,Healthcare,22,11.87,0,0,736,0,0
1210,Healthcare,11,2.38,7,1,690,1,0
1211,Retail,10,31.11,2,0,623,0,0
1212,Healthcare,17,6.99,7,0,679,1,0
1213,Retail,14,17.49,9,0,720,1,0
1214,Manufacturing,22,33.95,6,2,594,0,1
1215,Retail,4,5.35,6,1,743,0,0
1216,Retail,19,6.8,5,0,689,1,0
1217,Healthcare,2,3.55,3,0,800,0,0
1218,Healthcare,7,49.81,7,0,715,0,0
1219,Tech,9,19.66,5,0,636,0,0
1220,Tech,19,45.34,4,2,743,0,1
1221,Manufacturing,16,15.03,6,1,709,0,0
1222,Tech,22,37.78,2,0,696,0,0
1223,Retail,16,11.34,6,2,794,0,0
1224,Healthcare,18,25.17,4,0,653,0,0
1225,Tech,23,41.32,3,1,758,0,0
1226,Tech,21,40.91,4,2,700,0,0
1227,Manufacturing,21,39.82,5,0,722,0,0
1228,Manufacturing,11,41.27,4,0,750,0,0
1229,Retail,7,10.97,8,0,621,0,0
1230,Healthcare,9,24.37,6,1,710,0,0
1231,Manufacturing,4,24.5,6,0,710,0,0
1232,Tech,13,44.58,4,0,684,0,0
1233,Healthcare,4,15.2,2,0,657,0,0
1234,Healthcare,19,46.61,6,1,712,0,0
1235,Tech,2,22.81,3,2,744,1,0
1236,Manufacturing,9,33.65,2,0,780,0,0
1237,Tech,12,13.81,7,0,753,0,0
1238,Healthcare,2,20.81,6,0,687,0,0
1239,Consulting,6,35.64,5,0,752,0,0
1240,Consulting,5,25.88,5,0,675,0,0
1241,Retail,5,46.57,3,0,615,1,0
1242,Tech,20,36.99,10,2,773,0,1
1243,Tech,22,28.44,6,1,637,0,0
1244,Retail,5,44.39,5,0,659,1,1
1245,Retail,4,33.45,2,0,701,0,0
1246,Retail,9,32.54,3,0,693,0,0
1247,Healthcare,22,12.7,7,0,599,0,0
1248,Tech,10,20.05,7,0,671,0,0
1249,Healthcare,16,34.32,1,1,742,0,0
1250,Retail,10,44.64,4,0,720,0,0
1251,Tech,10,16.12,4,0,729,0,0
1252,Healthcare,19,11.17,7,2,595,0,0
1253,Healthcare,10,29.89,4,0,627,0,0
1254,Retail,6,3.83,4,0,728,0,0
1255,Tech,17,35.87,5,0,804,0,0
1256,Retail,5,35.31,3,1,692,1,1
1257,Tech,6,18.07,8,0,710,0,0
1258,Consulting,24,44.69,5,2,713,0,0
1259,Manufacturing,15,25.36,7,2,744,0,0
1260,Manufacturing,19,32.47,7,1,653,1,0
1261,Manufacturing,18,10.87,2,0,801,0,1
1262,Retail,4,21.16,2,0,772,1,1
1263,Consulting,8,43.19,8,2,738,0,0
1264,Tech,16,11.04,3,0,676,0,0
1265,Healthcare,24,19.83,5,0,728,0,0
1266,Tech,19,16.24,5,0,725,0,0
1267,Healthcare,20,7.98,2,0,662,1,0
1268,Tech,3,14.84,4,1,646,0,1
1269,Consulting,10,12.02,8,1,722,1,1
1270,Healthcare,2,46.22,14,2,689,0,1
1271,Retail,4,37.18,5,0,754,0,0
1272,Tech,6,16.15,7,1,635,0,0
1273,Tech,11,38.29,4,0,714,0,0
1274,Healthcare,14,1.6,3,0,765,0,0
1275,Retail,16,26.56,8,1,726,0,1
1276,Retail,21,12.89,6,0,766,1,1
1277,Consulting,19,6.16,4,1,758,0,0
1278,Retail,2,44.25,5,0,697,0,0
1279,Retail,17,10.37,4,0,680,0,0
1280,Retail,9,41.21,2,0,759,0,1
1281,Manufacturing,17,20.95,7,1,723,0,0
1282,Consulting,15,1.21,9,0,718,1,0
1283,Tech,7,36.76,7,0,743,0,1
1284,Healthcare,22,30.02,6,0,696,0,0
1285,Tech,23,17.54,5,0,666,0,0
1286,Consulting,19,14.44,0,2,787,0,0
1287,Healthcare,3,4.15,3,2,707,1,1
1288,Consulting,1,47.1,4,1,648,0,0
1289,Retail,4,24.95,6,0,727,0,0
1290,Healthcare,18,4.73,5,0,714,0,0
1291,Retail,8,43.5,6,2,683,0,0
1292,Tech,19,14.3,9,0,726,0,1
1293,Tech,23,10.58,4,1,697,0,1
1294,Healthcare,23,14.41,2,0,660,0,0
1295,Healthcare,6,28.45,7,1,653,0,1
1296,Consulting,1,4.17,8,0,642,0,0
1297,Consulting,8,24.35,7,1,759,0,1
1298,Retail,1,44.84,5,1,740,0,0
1299,Healthcare,19,9.81,4,0,739,1,0
1300,Tech,11,16.89,4,0,728,0,0
1301,Consulting,21,20.11,4,0,640,0,0
1302,Consulting,24,29.52,3,0,627,0,0
1303,Tech,15,46.0,2,0,636,1,0
1304,Consulting,23,20.03,8,0,730,0,0
1305,Retail,11,3.92,2,0,642,0,0
1306,Healthcare,19,17.72,3,0,743,0,0
1307,Tech,21,9.91,10,0,744,0,0
1308,Healthcare,10,32.76,3,0,728,0,0
1309,Consulting,24,1.95,3,0,690,1,0
1310,Consulting,12,14.95,7,0,743,0,1
1311,Tech,1,27.49,3,1,692,0,0
1312,Retail,24,14.23,7,0,768,0,0
1313,Manufacturing,7,27.77,6,1,741,1,1
1314,Tech,17,6.18,4,0,654,0,0
1315,Manufacturing,10,47.17,5,0,657,0,0
1316,Manufacturing,6,14.9,4,2,673,1,1
1317,Retail,17,46.19,4,1,687,1,0
1318,Manufacturing,18,16.63,5,1,652,1,0
1319,Manufacturing,5,39.2,5,0,737,0,1
1320,Retail,18,12.69,4,1,729,1,0
1321,Manufacturing,17,33.65,8,0,687,0,0
1322,Manufacturing,22,16.52,5,0,760,0,0
1323,Manufacturing,16,25.7,9,0,700,0,0
1324,Tech,8,33.85,3,0,629,1,0
1325,Tech,24,29.65,2,0,652,1,0
1326,Tech,13,29.03,6,0,713,1,0
1327,Retail,24,3.75,5,2,769,0,0
1328,Consulting,16,12.83,8,1,717,0,0
1329,Manufacturing,11,28.81,4,1,653,0,0
1330,Manufacturing,6,1.41,8,1,670,0,0
1331,Retail,3,12.91,7,2,719,1,0
1332,Manufacturing,1,11.84,3,0,651,0,0
1333,Tech,18,12.87,6,0,789,0,1
1334,Consulting,5,27.01,8,1,758,0,1
1335,Healthcare,13,29.31,7,0,703,0,0
1336,Manufacturing,10,45.5,1,2,745,0,0
1337,Tech,5,19.61,5,2,706,0,0
1338,Healthcare,14,46.37,5,2,683,1,1
1339,Consulting,17,32.77,2,1,706,0,0
1340,Healthcare,1,45.68,8,0,590,0,0
1341,Tech,2,41.76,5,1,727,1,0
1342,Healthcare,7,34.54,2,0,679,0,0
1343,Retail,10,18.13,3,0,775,0,0
1344,Healthcare,20,12.43,6,0,727,1,0
1345,Manufacturing,7,11.51,8,0,710,0,0
1346,Manufacturing,24,47.63,5,1,642,0,1
1347,Retail,16,47.95,7,0,679,1,0
1348,Tech,5,36.38,2,0,711,0,1
1349,Manufacturing,12,44.25,5,2,754,0,1
1350,Consulting,17,45.99,4,0,721,1,0
1351,Manufacturing,16,25.82,5,0,706,0,0
1352,Manufacturing,20,31.64,5,0,701,1,0
1353,Tech,16,21.23,3,2,773,0,0
1354,Healthcare,19,21.22,6,1,756,0,0
1355,Manufacturing,15,2.4,12,0,735,0,1
1356,Retail,12,21.97,6,0,730,0,0
1357,Healthcare,21,33.84,4,2,717,1,0
1358,Consulting,10,21.39,4,1,725,1,0
1359,Tech,22,43.68,2,0,617,1,0
1360,Consulting,2,16.96,3,0,686,0,0
1361,Healthcare,7,7.07,7,0,737,0,0
1362,Healthcare,13,40.67,8,0,690,0,0
1363,Healthcare,3,33.86,4,0,682,0,0
1364,Consulting,15,12.47,5,1,747,1,0
1365,Healthcare,1,27.05,0,0,615,0,0
1366,Consulting,3,20.39,4,0,668,0,0
1367,Healthcare,10,46.97,5,0,624,0,0
1368,Retail,15,30.56,6,0,765,0,0
1369,Healthcare,22,8.34,5,0,694,0,0
1370,Consulting,6,25.36,5,0,770,0,0
1371,Manufacturing,20,43.2,5,0,685,0,0
1372,Healthcare,15,33.74,7,0,626,0,1
1373,Manufacturing,24,42.2,6,0,683,0,0
1374,Retail,21,12.89,4,0,784,1,0
1375,Tech,7,44.47,3,2,741,0,0
1376,Retail,21,37.9,11,0,707,1,0
1377,Healthcare,5,36.58,7,0,706,1,1
1378,Manufacturing,4,17.65,2,0,689,0,0
1379,Manufacturing,22,44.44,7,2,673,0,1
1380,Consulting,18,32.08,5,2,715,0,0
1381,Manufacturing,3,42.67,6,1,623,1,0
1382,Consulting,17,18.37,4,0,703,0,0
1383,Tech,18,7.71,3,0,687,0,0
1384,Healthcare,18,16.95,3,1,689,0,0
1385,Consulting,24,23.04,10,1,655,0,0
1386,Tech,24,26.9,7,2,716,0,0
1387,Manufacturing,2,25.79,4,0,775,0,0
1388,Manufacturing,13,27.53,7,0,671,0,0
1389,Tech,22,42.16,7,0,717,0,0
1390,Manufacturing,15,8.92,4,0,716,0,0
1391,Tech,5,16.14,5,0,776,0,0
1392,Consulting,3,44.49,7,0,632,0,1
1393,Consulting,5,28.24,8,1,712,0,0
1394,Tech,5,29.38,4,0,748,0,0
1395,Consulting,5,24.16,1,1,742,0,1
1396,Consulting,3,27.67,5,0,668,1,0
1397,Consulting,3,10.3,5,0,657,0,0
1398,Retail,20,27.57,10,0,705,0,0
1399,Healthcare,23,49.86,5,1,745,0,0
1400,Manufacturing,18,28.52,4,0,602,1,0
1401,Retail,20,2.7,8,0,646,1,0
1402,Consulting,4,39.92,3,2,720,0,1
1403,Tech,1,20.13,3,2,708,0,1
1404,Consulting,16,8.11,7,0,760,1,0
1405,Healthcare,8,43.19,11,0,830,0,0
1406,Consulting,17,10.3,4,0,780,0,1
1407,Tech,8,46.08,3,2,696,0,1
1408,Healthcare,7,22.37,8,0,658,0,0
1409,Consulting,8,37.27,2,2,632,0,0
1410,Healthcare,21,27.58,8,0,720,0,0
1411,Manufacturing,24,13.2,7,1,608,0,1
1412,Manufacturing,12,33.72,4,2,692,0,1
1413,Consulting,16,47.92,4,0,714,0,1
1414,Healthcare,12,38.6,3,0,791,0,1
1415,Tech,19,30.4,8,1,709,0,0
1416,Consulting,10,49.54,3,2,659,0,0
1417,Manufacturing,7,13.63,5,0,730,0,0
1418,Manufacturing,12,3.59,5,0,708,1,0
1419,Consulting,20,2.09,3,2,749,0,0
1420,Healthcare,5,35.68,7,0,776,0,0
1421,Manufacturing,16,41.6,4,0,685,0,0
1422,Healthcare,9,31.94,5,1,732,0,1
1423,Manufacturing,7,45.3,4,0,803,0,1
1424,Manufacturing,20,35.05,4,1,784,0,1
1425,Retail,22,18.86,5,1,662,1,0
1426,Manufacturing,14,9.47,3,1,634,0,0
1427,Tech,11,46.27,3,0,748,1,0
1428,Consulting,7,5.63,4,0,678,0,0
1429,Consulting,10,27.38,6,1,772,1,0
1430,Healthcare,9,16.04,5,1,627,0,0
1431,Manufacturing,4,13.94,4,0,663,1,0
1432,Tech,16,32.47,1,0,689,1,0
1433,Healthcare,10,11.95,5,0,651,1,0
1434,Retail,19,45.86,2,0,648,0,0
1435,Healthcare,24,20.6,5,0,668,0,0
1436,Healthcare,17,34.03,5,0,744,1,0
1437,Manufacturing,9,36.52,3,2,684,0,1
1438,Retail,13,34.31,5,1,724,0,1
1439,Healthcare,1,45.22,5,0,819,1,1
1440,Tech,2,11.94,8,2,765,0,1
1441,Tech,13,4.76,4,0,725,1,0
1442,Consulting,24,3.25,6,0,627,0,0
1443,Retail,9,43.95,5,0,680,0,0
1444,Retail,7,48.68,8,0,741,0,0
1445,Consulting,16,15.48,5,2,683,0,0
1446,Healthcare,19,34.83,2,0,658,0,0
1447,Retail,7,0.94,3,0,790,0,0
1448,Tech,6,9.84,8,0,638,0,0
1449,Tech,18,34.62,9,0,691,0,0
1450,Manufacturing,19,3.76,1,0,676,1,0
1451,Retail,11,23.69,2,0,647,0,0
1452,Healthcare,12,33.3,3,1,787,0,0
1453,Consulting,10,38.41,6,0,646,0,1
1454,Consulting,13,22.96,7,1,657,0,0
1455,Healthcare,12,31.7,6,0,757,0,0
1456,Manufacturing,21,27.21,8,1,712,0,0
1457,Consulting,10,3.09,5,0,649,0,1
1458,Retail,20,37.27,8,0,696,0,0
1459,Manufacturing,18,9.03,4,0,654,0,0
1460,Retail,4,2.07,4,0,694,0,0
1461,Tech,24,22.83,8,0,687,0,1
1462,Manufacturing,5,43.35,6,1,637,0,0
1463,Consulting,5,7.97,11,0,716,0,0
1464,Manufacturing,12,1.14,2,0,662,1,0
1465,Manufacturing,3,5.94,5,0,597,0,0
1466,Manufacturing,8,18.5,3,0,728,0,0
1467,Manufacturing,22,29.22,8,0,702,0,0
1468,Retail,2,10.05,4,0,638,0,0
1469,Tech,18,40.2,7,0,732,0,0
1470,Healthcare,9,37.79,9,1,738,0,1
1471,Manufacturing,13,34.95,6,0,700,0,0
1472,Consulting,7,24.63,4,0,723,0,0
1473,Manufacturing,10,18.58,2,0,633,0,0
1474,Consulting,9,19.09,7,0,733,0,0
1475,Retail,22,25.4,9,0,700,0,1
1476,Consulting,15,4.33,4,0,778,0,0
1477,Healthcare,5,34.27,7,0,605,0,0
1478,Tech,12,17.9,7,1,687,0,0
1479,Consulting,1,11.63,4,0,648,0,0
1480,Consulting,12,14.28,3,1,667,0,0
1481,Tech,22,9.42,3,2,695,0,0
1482,Healthcare,6,45.13,6,0,674,0,1
1483,Manufacturing,19,8.87,3,0,656,0,0
1484,Consulting,19,44.2,4,0,657,0,0
1485,Tech,16,28.83,5,0,780,0,0
1486,Retail,19,43.44,5,0,710,0,0
1487,Tech,3,23.97,9,1,612,0,0
1488,Retail,23,46.42,2,0,656,1,0
1489,Healthcare,10,10.97,3,2,722,0,1
1490,Manufacturing,18,27.96,5,0,688,0,1
1491,Tech,13,6.73,7,0,705,1,1
1492,Consulting,18,22.64,2,0,732,0,0
1493,Healthcare,3,28.71,2,0,612,0,0
1494,Tech,23,30.48,7,0,728,0,0
1495,Consulting,3,18.59,0,0,754,0,0
1496,Tech,23,4.28,6,0,620,0,0
1497,Retail,12,32.94,4,0,709,0,0
1498,Tech,20,24.68,4,0,580,0,0
1499,Tech,7,7.28,9,0,712,0,1
1500,Tech,24,46.83,6,0,714,0,0
1501,Healthcare,8,47.81,7,1,648,0,1
1502,Tech,9,42.9,9,0,676,0,0
1503,Consulting,14,42.27,7,1,689,0,0
1504,Retail,5,5.38,6,0,700,1,0
1505,Retail,21,49.67,5,0,675,0,0
1506,Tech,19,20.32,5,0,754,0,0
1507,Healthcare,21,8.57,2,2,717,1,0
1508,Healthcare,16,40.7,3,1,668,0,0
1509,Consulting,24,11.67,4,1,753,0,0
1510,Tech,12,26.55,6,0,724,0,0
1511,Retail,21,6.84,4,0,640,0,0
1512,Healthcare,4,23.99,6,0,701,0,0
1513,Tech,8,28.13,6,0,728,1,1
1514,Healthcare,7,22.57,6,0,744,0,0
1515,Healthcare,15,3.94,1,0,789,1,0
1516,Retail,6,24.5,4,0,757,0,0
1517,Manufacturing,5,23.71,3,0,685,0,0
1518,Consulting,14,13.45,5,0,602,0,0
1519,Consulting,21,46.12,11,0,733,1,1
1520,Retail,13,21.18,8,0,688,0,0
1521,Healthcare,10,43.27,4,0,746,0,0
1522,Tech,18,5.93,6,2,702,0,0
1523,Healthcare,4,16.28,4,0,644,0,0
1524,Retail,8,9.23,7,0,676,0,0
1525,Consulting,24,20.72,2,1,714,0,0
1526,Healthcare,11,6.03,2,2,701,0,0
1527,Consulting,17,22.33,4,0,673,0,0
1528,Tech,18,18.02,10,1,707,1,0
1529,Consulting,21,11.55,9,0,696,1,0
1530,Consulting,11,32.29,5,0,676,0,0
1531,Manufacturing,16,47.57,2,1,740,1,0
1532,Manufacturing,12,10.75,3,0,739,0,0
1533,Manufacturing,13,35.73,6,0,717,1,0
1534,Consulting,16,37.25,6,1,683,0,1
1535,Retail,23,25.16,8,0,726,0,1
1536,Consulting,21,44.93,3,0,667,0,0
1537,Retail,1,48.34,9,0,752,0,0
1538,Retail,16,18.43,3,0,715,1,0
1539,Manufacturing,15,32.73,5,0,716,0,0
1540,Healthcare,6,33.28,4,0,758,0,0
1541,Tech,12,20.48,6,2,695,0,1
1542,Manufacturing,8,16.18,5,0,719,0,1
1543,Manufacturing,7,46.72,7,1,674,0,0
1544,Healthcare,2,39.6,4,1,648,1,0
1545,Tech,12,6.17,5,0,735,0,1
1546,Consulting,21,6.43,6,1,676,0,1
1547,Consulting,14,46.17,5,0,668,1,0
1548,Manufacturing,16,4.53,8,0,679,0,0
1549,Tech,11,34.58,3,1,753,0,0
1550,Manufacturing,20,11.72,3,0,669,0,0
1551,Retail,9,2.24,2,1,782,0,0
1552,Manufacturing,10,3.45,5,0,628,1,0
1553,Manufacturing,17,18.99,6,1,732,1,0
1554,Consulting,12,4.34,7,0,672,0,0
1555,Consulting,6,30.03,4,1,673,0,0
1556,Consulting,19,32.54,3,0,712,0,0
1557,Retail,11,18.99,7,0,666,0,1
1558,Consulting,9,37.27,6,0,664,0,0
1559,Tech,21,24.76,11,0,746,0,0
1560,Healthcare,6,21.8,10,0,636,1,0
1561,Tech,24,20.65,7,2,597,0,1
1562,Tech,16,21.84,10,0,707,0,0
1563,Consulting,20,48.41,4,0,670,0,0
1564,Healthcare,16,34.23,6,1,674,0,0
1565,Healthcare,6,16.1,4,1,652,0,0
1566,Healthcare,5,36.83,8,0,623,0,0
1567,Retail,21,16.85,8,0,732,0,0
1568,Consulting,4,6.72,6,0,638,0,0
1569,Healthcare,2,24.03,9,0,721,0,0
1570,Retail,6,37.68,2,0,732,0,1
1571,Manufacturing,9,19.19,4,0,683,0,0
