Company_ID,Company_Name,Industry,Annual_Revenue_M,Website_Visits_30d,Whitepaper_Downloads,Credit_Score_Proxy,Conversion_Probability
NEW_1062,Prospect_61,Healthcare,1.88,16,1,836,0.5371632667412214
NEW_1059,Prospect_58,Finance,31.7,13,0,812,0.5294043199782467
NEW_1055,Prospect_54,Finance,63.83,6,0,720,0.5209989915959164
NEW_1050,Prospect_49,Finance,30.08,14,0,768,0.5125300002735413
NEW_1100,Prospect_99,Tech,4.0,15,2,663,0.4944951889543622
NEW_1005,Prospect_4,Tech,4.16,23,0,601,0.43106420157409275
NEW_1045,Prospect_44,Tech,7.52,19,0,720,0.42015231225174976
NEW_1041,Prospect_40,Retail,49.82,0,1,707,0.30819220628106037
NEW_1056,Prospect_55,Consulting,2.28,14,0,821,0.29261473637496715
NEW_1098,Prospect_97,Healthcare,22.65,3,0,799,0.16474328384225317
NEW_1074,Prospect_73,Retail,13.6,2,1,778,0.15069560351836028
NEW_1037,Prospect_36,Consulting,11.96,7,0,664,0.11607594957512367
NEW_1072,Prospect_71,Finance,8.29,2,0,811,0.08271516582908917
